7, 25, 3, 26, 4, 25, 28, 0, 29, 2, 9, 10, 31, 16, 0, 17, 20, 32, 25, 8, 13, 14, 11, 0, 0, 16, 18, 13, 0, 0, 28, 22, 11, 16, 22, 7, 11, 16, 3, 29, 19, 19, 22, 3, 17, 13, 7, 9, 32, 20 
13, 6, 7, 22, 20, 28, 13, 0, 1, 27, 11, 3, 6, 10, 0, 11, 29, 24, 2, 11, 13, 23, 4, 0, 0, 30, 11, 13, 0, 0, 22, 8, 24, 3, 17, 13, 8, 14, 18, 25, 24, 11, 26, 21, 1, 13, 31, 10, 11, 24 
4.2, 8.3, 1.7, 10.5, 3.4, 17.4, 12.2, 0, 5.5, 7.6, 13.3, 3.6, 3.8, 2.0, 0, 2.6, 17.0, 3.7, 12.7, 6.6, 6.5, 0.9, 5.7, 0, 0, 1.1, 8.3, 8.0, 0, 0, 7.7, 10.4, 5.2, 15.0, 6.0, 22.7, 22.9, 5.6, 6.3, 19.6, 10.1, 11.9, 24.4, 10.6, 9.5, 3.7, 3.3, 1.4, 21.7, 19.2 
7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95, 7.95 
6, 31, 18, 14, 22, 13, 17, 15, 4, 26, 16, 3, 29, 15, 12, 13, 8, 20, 19, 5, 28, 8, 7, 9, 31, 23, 24, 7, 0, 18, 26, 6, 0, 6, 27, 20, 31, 20, 5, 32, 14, 18, 14, 20, 16, 24, 22, 4, 0, 17 
4, 22, 8, 30, 26, 15, 17, 3, 9, 13, 17, 2, 23, 29, 3, 26, 20, 5, 3, 10, 26, 14, 13, 19, 22, 12, 32, 7, 0, 26, 17, 15, 0, 20, 23, 26, 17, 4, 3, 6, 11, 24, 13, 26, 27, 28, 1, 3, 0, 17 
3.2, 0.9, -0.5, 9.2, 3.2, 4.0, 2.2, 6.4, 5.8, 12.0, 2.2, 2.8, 10.8, 25.2, 2.0, 3.4, 4.3, 20.0, 6.5, 6.7, 10.3, 6.3, 2.7, 4.3, 9.8, 7.0, 12.8, 13.4, 0, 8.7, 5.0, 5.8, 0, 2.2, 15.8, 10.5, 0.8, 14.6, 5.2, 10.9, 32.7, 18.8, 30.9, 6.1, 22.6, 18.2, 10.6, 8.0, 0, 1.9 
8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02, 8.02 
16, 19, 20, 29, 11, 0, 21, 29, 10, 29, 24, 26, 7, 20, 7, 0, 29, 1, 0, 10, 0, 9, 3, 17, 25, 13, 19, 0, 24, 22, 0, 12, 23, 15, 19, 23, 23, 17, 26, 16, 27, 3, 2, 1, 7, 28, 20, 28, 22, 32 
24, 27, 16, 28, 8, 0, 24, 6, 11, 18, 10, 1, 20, 11, 7, 0, 23, 15, 0, 30, 0, 10, 18, 2, 5, 24, 29, 0, 9, 11, 0, 24, 11, 24, 3, 6, 7, 11, 25, 15, 17, 21, 18, 14, 31, 6, 27, 26, 24, 11 
20.8, 15.1, 23.9, 26.6, 14.9, 0, 46.6, 37.2, 11.2, 20.0, 6.2, 17.9, 17.0, 21.9, 14.5, 0, 14.4, 14.8, 0, 4.4, 0, 20.3, 7.8, 12.2, 17.8, 19.5, 8.3, 0, 34.2, 9.1, 0, 1.3, 8.2, 10.8, 3.6, 13.6, 8.6, 24.1, 14.3, 20.1, 11.6, 20.6, 7.2, 5.6, 14.3, 7.6, 23.0, 7.7, 4.4, 1.7 
14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64, 14.64 
0, 18, 29, 6, 7, 1, 0, 0, 11, 16, 18, 21, 5, 19, 29, 0, 24, 4, 14, 23, 12, 7, 16, 0, 0, 0, 6, 21, 32, 28, 20, 0, 0, 32, 6, 32, 3, 23, 3, 15, 26, 28, 16, 19, 10, 26, 32, 2, 28, 26 
0, 4, 23, 29, 9, 2, 0, 0, 26, 30, 8, 24, 7, 15, 18, 0, 22, 29, 18, 12, 10, 20, 32, 0, 0, 0, 7, 26, 31, 17, 26, 0, 0, 6, 13, 17, 1, 15, 18, 9, 28, 17, 27, 24, 16, 26, 11, 18, 7, 26 
0, 17.1, 10.7, 7.6, 21.9, 11.2, 0, 0, 11.5, 6.1, 4.2, 3.1, 25.6, 9.0, 14.4, 0, 13.3, 5.9, 5.5, 4.7, 5.1, 6.6, 2.7, 0, 0, 0, 7.4, 6.4, 14.2, 14.6, 4.8, 0, 0, 16.5, 8.6, 4.4, 27.6, 6.4, 13.2, 13.8, 15.3, 5.4, 4.8, 28.0, 9.8, 27.5, 0.9, 5.1, 6.1, 3.3 
10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4, 10.4 
7, 25, 3, 26, 4, 0, 0, 10, 29, 2, 9, 10, 31, 16, 24, 17, 7, 27, 7, 19, 14, 5, 24, 1, 26, 22, 0, 18, 19, 25, 18, 11, 0, 10, 8, 1, 22, 18, 18, 24, 2, 32, 2, 12, 3, 29, 27, 12, 17, 31 
13, 6, 7, 22, 20, 0, 0, 29, 1, 27, 11, 3, 6, 10, 16, 11, 7, 6, 29, 9, 23, 11, 17, 15, 12, 8, 0, 4, 11, 2, 30, 13, 0, 13, 11, 20, 14, 26, 31, 17, 21, 6, 18, 16, 3, 11, 4, 25, 13, 6 
13.6, 41.6, 14.6, 17.1, 10.1, 0, 0, 7.9, 9.5, 13.1, 9.0, 20.8, 7.5, 21.8, 10.8, 14.5, 2.2, 35.5, 15.6, 7.9, 10.9, 17.0, 3.9, 17.0, 5.3, 8.6, 0, 2.3, 18.5, 13.0, 8.7, 10.6, 0, 7.6, 29.0, 2.7, 11.5, 8.0, 4.4, 19.6, 15.7, 4.5, 21.6, 8.0, 15.9, 5.0, 16.6, 3.4, 11.3, 4.8 
13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36, 13.36 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 18, 28, 4, 25, 20, 12, 32, 29, 23, 24, 13, 17, 8, 16, 26, 18, 25, 24, 29, 2, 4, 29, 5, 22, 18, 18, 15, 6, 11, 31, 5, 22 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 32, 23, 24, 19, 8, 30, 11, 6, 5, 23, 2, 13, 16, 12, 30, 2, 23, 14, 30, 31, 21, 20, 25, 3, 7, 23, 27, 22, 2, 10, 32, 2, 30 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.9, 14.1, 14.2, 15.1, 20.2, 18.7, 18.0, 13.8, 13.3, 11.9, 3.7, 10.7, 22.4, 2.6, 11.0, 26.6, 5.5, 8.6, 8.9, 10.1, 7.4, 3.6, 10.9, 8.0, 6.0, 9.9, 23.6, 9.9, 9.2, 11.0, 14.6, 9.5, 18.3, 13.0 
12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04, 12.04 
27, 28, 22, 27, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 28, 11, 22, 23, 28, 12, 31, 23, 21, 16, 29, 18, 8, 24, 10, 0, 17, 20, 26, 12, 7, 27, 12, 31, 12, 28, 0, 0, 32, 12, 1, 6, 6 
5, 30, 3, 1, 2, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 11, 9, 1, 24, 6, 2, 31, 30, 32, 9, 5, 29, 19, 2, 12, 0, 9, 18, 31, 25, 2, 7, 22, 30, 10, 9, 0, 0, 30, 20, 14, 21, 2 
5.1, 8.6, 6.5, 36.1, 9.4, 12.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21.0, 7.1, 9.4, 12.7, 9.5, 21.3, 11.9, 21.1, 23.0, 24.3, 28.3, 9.4, 6.8, 6.0, 25.5, 8.6, 0, 14.5, 8.3, 3.8, 13.4, 8.8, 12.8, 15.1, 5.9, 51.1, 6.2, 0, 0, 10.6, 5.4, 10.8, 63, 12.8 
13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35, 13.35 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 27, 4, 0, 24, 10, 16, 32, 10, 2, 4, 0, 30, 3, 3, 1, 8, 16, 32, 28, 18, 7, 17, 6, 8, 4, 14, 31, 24, 16, 5 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 28, 18, 0, 5, 10, 30, 22, 16, 21, 27, 0, 1, 25, 25, 9, 2, 24, 6, 30, 11, 31, 27, 31, 13, 21, 15, 32, 23, 25, 21 
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0.9, 0, 0, 0, 2.3, 12.2, 0, 3.1, 10.6, 23.4, 7.5, 4.6, 7.8, 4.0, 0, 22.7, 3.6, 2.7, 5.1, 16.1, 8.9, 17.5, 21.1, 15.8, 14.3, 13.0, 8.2, 11.2, 7.8, 1.0, 22.8, 1.3, 5.1, 8.2 
