Week 18, vs. HOU, L, 32-31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 100, 
Totals,  ,  , 192, 861, 4.5, 66, 4, 28, 40, 143, 5.1, 19, 0, 3, 3, 118.4, 

Week 1, @ ARI, W, 44-21, 12, 62, 5.2, 22, 1, 0, 0, 0, 0, 0, 0, 1, 0, 12.2, 16, 
Week 2, vs. LAC, W, 24-27, 2, 6, 3, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6, 76, 
Week 3, @ IND, L, 17-20, 3, 9, 3, 5, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0.9, 70, 
Week 4, @ TB, W, 41-31, 11, 63, 5.7, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.3, 40, 
Week 5, vs. LV, W, 29-30, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 92, 
Week 6, vs. BUF, L, 24-20, 2, 9, 4.5, 5, 0, 2, 2, 9, 4.5, 12, 0, 0, 0, 1.8, 47, 
Week 7, @ SF, W, 44-23, 8, 43, 5.4, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.3, 40, 
Week 8, BYE Week, 
Week 9, vs. TEN, W, 17-20, 5, 5, 1, 2, 0, 1, 1, 4, 4, 4, 0, 0, 0, 0.9, 57, 
Week 10, vs. JAC, W, 17-27, 16, 82, 5.1, 13, 0, 0, 0, 0, 0, 0, 0, 1, 1, 6.2, 33, 
Week 11, @ LAC, W, 30-27, 15, 107, 7.1, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10.7, 14, 
Week 12, vs. LAR, W, 10-26, 22, 69, 3.1, 9, 1, 1, 1, 17, 17, 17, 0, 0, 0, 14.6, 13, 
Week 13, @ CIN, L, 24-27, 14, 66, 4.7, 16, 1, 2, 2, 16, 8, 16, 0, 0, 0, 14.2, 10, 
Week 14, @ DEN, W, 34-28, 13, 70, 5.4, 10, 0, 3, 3, 23, 7.7, 17, 0, 0, 0, 9.3, 20, 
Week 15, @ HOU, W, 30-24, 15, 86, 5.7, 18, 0, 1, 1, 11, 11, 11, 0, 1, 1, 7.7, 34, 
Week 16, vs. SEA, W, 10-24, 14, 58, 4.1, 8, 0, 1, 2, 32, 32, 32, 0, 0, 0, 9.0, 25, 
Week 17, vs. DEN, W, 24-27, 9, 31, 3.4, 6, 1, 2, 2, 18, 9, 9, 0, 0, 0, 10.9, 18, 
Week 18, @ LV, W, 31-13, 8, 64, 8, 31, 1, 0, 0, 0, 0, 0, 0, 0, 0, 12.4, 14, 
Totals,  ,  , 170, 830, 4.9, 31, 5, 13, 14, 130, 10.0, 32, 0, 4, 2, 122, 

Week 1, vs. BUF, L, 31-10, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 88, 
Week 2, vs. ATL, W, 27-31, 15, 44, 2.9, 8, 0, 2, 3, 18, 9, 10, 0, 0, 0, 6.2, 32, 
Week 3, @ ARI, W, 20-12, 12, 61, 5.1, 14, 1, 0, 0, 0, 0, 0, 0, 1, 1, 10.1, 21, 
Week 4, @ SF, L, 9-24, 8, 13, 1.6, 6, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1.3, 67, 
Week 5, vs. DAL, L, 22-10, 13, 33, 2.5, 13, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3.3, 58, 
Week 6, vs. CAR, W, 10-24, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 7, BYE Week, 
Week 8, vs. SF, L, 31-14, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 9, @ TB, L, 13-16, 5, 3, 0.6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3, 67, 
Week 10, vs. ARI, L, 27-17, 6, 22, 3.7, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2.2, 49, 
Week 11, @ NO, L, 20-27, 14, 61, 4.4, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.1, 32, 
Week 12, @ KC, L, 10-26, 8, 37, 4.6, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.7, 49, 
Week 13, vs. SEA, L, 27-23, 17, 60, 3.5, 13, 2, 1, 1, 0, 0, 0, 0, 0, 0, 18.0, 4, 
Week 14, vs. LV, W, 16-17, 12, 42, 3.5, 9, 1, 1, 1, 1, 1, 1, 0, 1, 1, 8.3, 24, 
Week 15, @ GB, L, 12-24, 12, 65, 5.4, 19, 0, 3, 3, 35, 11.7, 18, 0, 0, 0, 10.0, 27, 
Week 16, vs. DEN, W, 14-51, 23, 118, 5.1, 21, 3, 2, 2, 29, 14.5, 17, 0, 0, 0, 32.7, 1, 
Week 17, @ LAC, L, 10-31, 19, 123, 6.5, 42, 0, 1, 2, 10, 10, 10, 0, 0, 0, 13.3, 13, 
Week 18, @ SEA, L, 16-19, 21, 104, 5, 32, 0, 3, 3, 24, 8, 13, 0, 0, 0, 12.8, 12, 
Totals,  ,  , 188, 786, 4.2, 42, 7, 13, 18, 117, 9.0, 18, 0, 2, 2, 128.3, 

Week 1, @ DET, W, 38-35, 4, 10, 2.5, 8, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7.0, 32, 
Week 2, vs. MIN, W, 7-24, 4, 19, 4.8, 16, 0, 1, 1, 2, 2, 2, 0, 0, 0, 2.1, 58, 
Week 3, @ WAS, W, 24-8, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 86, 
Week 4, vs. JAC, W, 21-29, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 5, @ ARI, W, 20-17, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 
Week 6, vs. DAL, W, 17-26, 6, 16, 2.7, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.6, 49, 
Week 7, BYE Week, 
Week 8, vs. PIT, W, 13-35, 7, 21, 3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.1, 55, 
Week 9, @ HOU, W, 29-17, 1, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 64, 
Week 10, vs. WAS, L, 32-21, 1, 5, 5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5, 66, 
Week 11, @ IND, W, 17-16, 3, 8, 2.7, 3, 0, 2, 2, 4, 2, 5, 0, 0, 0, 1.2, 51, 
Week 12, vs. GB, W, 33-40, 3, 24, 8, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.4, 55, 
Week 13, vs. TEN, W, 10-35, 6, 16, 2.7, 5, 0, 1, 1, 5, 5, 5, 0, 0, 0, 2.1, 56, 
Week 14, @ NYG, W, 48-22, 6, 33, 5.5, 11, 1, 1, 1, 4, 4, 4, 0, 0, 0, 9.7, 19, 
Week 15, @ CHI, W, 25-20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 92, 
Week 16, @ DAL, L, 34-40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 98, 
Week 17, vs. NO, L, 20-10, 2, 6, 3, 8, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0.6, 73, 
